,date,parliament.no,session.no,period.no,chamber,page.no,proof,day.start,name,name.id,title,type,electorate,party,role,in.gov,first.speech,para
0,13/10/43,17,1,1,SENATE,414,0,13/10/43,Senator COLLETT,K7M,ESTIMATES AND BUDGET PAPERS 1943-44,Questions,Western Australia,,,0,0,"
 
The recent elections, which were held during the course of the greatest war in history, have created a situation indicative of the arrival of a new political era. It would be difficult to analyse the motives of the people in voting  as  they did. Some factors stand out clearly and one of these is that issues viewed by all parties as being important have been completely disregarded in making the choice' of governors for the next three years. If we give him the role of an elector, we may acquire enlightenment from the Persian poet-philosopher who, first, to record his bewilderment, wrote -  "" Myself..... did eagerly frequent "
1,22/5/75,29,1,2,SENATE,1796,0,22/5/75,Senator Sir MAGNUS CORMACK,JQQ,Second Reading,bill,,,,0,0,"If we take their aims to extremes, that is what it amounts to. There is nothing in this Racial Discrimination Bill that can support the arguments of  Senator Coleman,  but there is a totality of equality. 
 
I deal now with  Senator Gietzelt  's speech. It was an emotive piece of mob oratory from its beginning to its end. He concluded by quoting a poem by 
 
I turn to what I regard as the most dreadful form of racial discrimination which came out inferentially in  Senator Button's  speech. "
2,5/6/75,29,1,2,SENATE,2303,0,5/6/75,Senator BUNTON,K3N,SUPERANNUATION BILL 1975,bill,New South Wales,,,0,0,"
 
- It would appear that the die is cast but I would like to make my final comment on this matter. In my opinion the effort of the Opposition to reduce the cost of this scheme is taking place in the wrong field. When the superannuation scheme was introduced emphasis was placed on the optional position in relation to retirement at 60 or 65 years of age. It was at that time evidently thought that this option should be given. Some 50 years later when we are working at an all-time high level of pressure and when people desire a longer retirement than was desired previously, a move now is taking place whereby the relief from the overall expenditure, which I think has some merit, is taking place in the wrong field. I will be presumptious enough to be somewhat biblically poetic and to say: 
 
The days of our years are threescore years and ten; and if by reason of strength they be four-score years. 
 
It would appear that there is a necessity for people in the last 20 years of their normal life span to be able to live in retirement with a security for which they have justly paid. 
 
I would have far preferred to have seen not such a liberal arrangement in connection with contributions than to take away what I maintain is a necessary component of any superannuation or insurance scheme. As I see it, we must endeavour to retain equity between the subscribers. In all the hundreds of representations that have been made to me by organisations and individuals not only by correspondence but also verbally, it would appear that the main concern is that retirement at 60 years of age should remain in this Bill. Those people are part of an agreement. It is an agreement between 2 parties each of which has his rights because each is subscribing to it. In view of that I think we should take cognisance of what those people have had to say in this connection. The scheme is a generous one. I do not think there is any doubt about that. I think it needs to be a generous scheme. Any pruning of it should not take place in the field that is now proposed in this amendment. Therefore on this particular amendment I intend to vote with the Government. "
3,5/6/75,29,1,2,SENATE,2358,0,5/6/75,Senator BUTTON,4F4,Second Reading,bill,,,,0,0,"
 

                 -As Senator Durack says, he tried to explain that he understood it 10 years ago, but in trying to explain what he understood 10 years ago he devoted much of his time to telling us that national trusts existed in the various States in those days and that he was interested in some of the issues which they pursued at that time. He said that he knew of other people who were interested, and so on. That was not the point. We all know that what he said is perfectly true. We all know that the national trusts have been active in Australia for a long time, and their activities are to be applauded. But we all know they were starved of funds, that they were singularly unsuccessful in carrying out their activities and that they were crying poverty all the time because of the utter disinterest of government and the utter failure of government to appreciate what they were all about. 
 
This legislation is part of the broad thrust of the Government's program which has been expressed in many ways- in terms of conservation policy, in terms of a new approach to Australia's national identity, and in terms of preservation in all respects of things that are unique in our landscape, history and culture. It is consistent with the program that the Government has adopted for the arts, which was the subject of some criticism a year or two ago. It is consistent with the National Gallery legislation which will be brought before the Senate soon. It is consistent with a new approach to foreign policy and it is even consistent, although in a much more minor way, with the new system of honours that has been introduced in this country. All of these things are a recognition of the unique nature of this country, of its own identity, and of its growing maturity as a nation. Even in a small way one could refer also to another piece of legislation passed by this Parliament recently, namely, the Glebe Lands Appropriation BUI. The point I make in referring to these things is that none of them happened in Australia at a national level before December 1972, and that is nowhere better recognised than in the report of the Hope Commission itself, where it stated that recognition quite explicitly in these words: 
 
The Australian Government has inherited a national estate which has been downgraded, disregarded and neglected. All previous priorities accepted at various levels of government and authority have been directed by a concept that uncontrolled development, economic growth and progress', and the encouragement of private as against public interest in land use, use of waters, and, indeed, in every part ofthe National Estate, was paramount. 
 
That is what the Government inherited in December 1972. Is it not true that, if one looks back to the years before December 1972 to the Australian national heritage, one finds that the music that one heard was the music of the cash registers of mining companies? The poetry was the poetry of motion on the share market and nowhere else. That was because none of these things was heard about as subjects for national debate, national political debate, in those years, and I have only to remind the Senate of the great voices of those years, the great voices of people like Jock Marshall, Robyn Boyd, Judith Wright and various other people of that kind. They were voices crying in the wilderness in Australia about the very things that this legislation is about. That is why I say that it is important that we recognise that this piece of legislation represents part of the broad thrust of the Government's program and is a great change in attitude towards these problems, because prior to this Government there was a very depressed spirit abroad about these types of problems in Australia, and the cultural symbol of this country was usually considered to be nothing more than the meat pie. 
 
As I have said,  Senator Durack  has gone to great lengths to say: 'Look, we really thought of this, but we did not do anything about it. We were sort of working on it and that kind of thing, in Western Australia, and it is not the Government's idea.'  His  whole speech reminded me of somebody who had been caught stealing clothes and who said: 'Really, I am only borrowing them'. That is the broad thrust of the Opposition 's approach in this debate. 
 
The only other point I wanted to make in that regard was that this Government acted very quickly. In May 1973 the Hope Committee was appointed. Last year it produced a magnificent report which has been the subject of much discussion in the Australian community. I want to say a brief word about the personnel of the Interim Committee on the National Estatepeople such as  Mr David  Yencken, a man who as interim  chairman  has shown himself to be a person of great wisdom, experience and enthusiasm in trying to see that future generations of Australians enjoy the heritage which only a few years ago was being swept away by our obsession with growth in terms of growth of the economy, growth of cities and so on; and Judith Wright, who for many years was once a voice crying in the wilderness but who is now a voice of significance in the community on this issue because of this legislation and because ofthe establishment of the Interim Committee. 
 
I agree with  Senator Durack  that the world will not change overnight because of the passing of this Bill by the Senate. Nothing very dramatic will happen. I believe it is symbolic legislation in a way, in that it is a recognition by the Parliament of a change in community attitudes and in government attitudes to this very important problem. All of us have various views about the significance of our relationship, as members of the human species, with our environment. It is a subject which we do not debate perhaps enough. I believe this legislation is a recognition that our values on this matter have not been subject to the scrutiny which they ought to have received in the past. From now on, with this legislation and the other legislation to which I have referred as a basis, we can proceed in this country with guidelines which will provide perhaps a better environment for future generations of Australians than that which has existed in the past. "
4,27/5/75,29,1,2,SENATE,1856,0,27/5/75,The PRESIDENT,10000,ELECTORAL REDISTRIBUTION: STATE OF NEW SOUTH WALES,miscellaneous,,,,0,0,"
 
While the Government does not agree with a number of the proposals contained in the report by the Distribution Commissioners for New South Wales, it has no doubt whatsoever that they have performed a most exacting task with competence, dedication and integrity. The Government proposes that the name of Gilmore be substituted for Eastwood, Evatt for Toongabbie, and Evans for Concord. Evatt is to honour the Right Honourable H. V. Evatt, eminent Australian, judge, statesman and scholar. Gilmore is to be named after Dame Mary Gilmore, poet, author, schoolteacher, journalist, wife and mother, who during her later years achieved unique status as a public figure who was listened to with respect on any subject simply because she was Mary Gilmore- a great person. It is most appropriate in International Women's Year to honour her as a great Australian. I urge the Senate to approve the motion for the redistribution of the State of New South Wales into electoral divisions. 
 
The latest enrolment figures available for all divisions as at 25 April 1975 in New South Wales as provided by the Chief Australian Electoral Officer are as follows: 
 

           
        "
5,8/4/75,29,1,2,SENATE,829,0,8/4/75,Senator Wriedt,ISW,Literature Board: Publishing Subsidies (Question No. 469),ANSWERS TO QUESTIONS,,ALP,,1,0,"
 
- The Prime Minister has provided the following information for answer to the honourable senator's question: 
 
1 ) to (4) The Literature Board introduced a new program of publishing subsidies late in 1973. Its first aim was to enable publishers to reduce the retail price of Australian works of fiction and poetry as well as non-fiction titles of literary merit It also had the aim of allowing publishers to offer more generous terms to booksellers and to keep books in print for longer periods. "
6,8/4/75,29,1,2,SENATE,829,0,8/4/75,Senator Wriedt,ISW,Literature Board: Publishing Subsidies (Question No. 469),ANSWERS TO QUESTIONS,,ALP,,1,0,"
 
- The Prime Minister has provided the following information for answer to the honourable senator's question: 
 

 
- The Prime Minister has provided the following information for answer to the honourable senator's question: 
 
1 ) to (4) The Literature Board introduced a new program of publishing subsidies late in 1973. Its first aim was to enable publishers to reduce the retail price of Australian works of fiction and poetry as well as non-fiction titles of literary merit It also had the aim of allowing publishers to offer more generous terms to booksellers and to keep books in print for longer periods. 
 
After the scheme had been in operation for twelve months, the Board produced a list of about ninety books which had been or were about to be published under the terms of the new program. The list included thirty-six works of fiction and thirty-six books of poetry. 
 
These figures indicate a considerable increase in the publication of works of this kind in comparison with previous years. 
 
The principal aim of the scheme is not to assist publishing houses directly but to aid the general promotion of Australian literature by making more works by Australian authors available to a wider readership. Nevertheless, it is obvious that the Australian publishing industry must benefit at least indirectly from such a scheme. Among the thirty-one publishing houses which received assistance in the first year of the program were a number of small firms with limited resources. They included, for example, Alpha Books, the Australasian Book Society, Contempa Publications, Cypress Books, Edwards and Shaw, Island Press, Outback Press, Wentworth Books, Whole Australian Catalogue Publications and Wild and Woolley. 
 
Although the scheme is not specifically designed to increase employment possibilities within the Australian publishing industry it will be obvious by what has been said that one of its incidental effects must be to increase those possibilities. 
 
The program is still in its infancy and is subject to constant assessment and revaluation by the Literature Board, in consultation with publishers, but the Government has good reason to be confident that it will reduce the disadvantages of the publishing industry. "
7,27/2/75,29,1,2,SENATE,520,0,27/2/75,Senator DAVIDSON,JTT,ARTS GRANTS,Questions,SOUTH AUSTRALIA,,,0,0,"
 
- My question is addressed to the Leader of the Government in the Senate or such other Minister as the question warrants. It relates to the announcement that $2. 7m in arts grants is to be distributed to a superannuation scheme for what are described as retired performers. Firstly, as the superannuation scheme is described as being the only one of its kind in the world, can the Minister give me some further information on qualifications for eligibility in this superannuation scheme, particularly qualifications relating to age and contributions required. Secondly, in relation to the announcement concerning arts grants, does the Government really believe that a grant to a troupe of poets and dancers to perform in Sydney streets and parks reflects the Governments 's recent pleas for restraint? "
8,15/5/75,29,1,2,SENATE,1528,0,15/5/75,Senator GIETZELT,RG4,Second Reading,bill,New South Wales,,,0,0,"
 
In 1967 I was moved by a poem which Kath Walker wrote. Copies were distributed throughout Australia on Aboriginal Observance Day. I wish to recite the poem to the Senate because I think it puts something of our responsibilities to the Aborigines and something of the compensation that ought to be paid to these people to whom hitherto we have paid very little attention and whom this Bill is dedicated to help as much as it is dedicated to help all the other disadvantaged people. Kath Walker wrote: "
9,5/11/75,29,1,3,SENATE,1759,0,5/11/75,Senator SCOTT,K5H,APPROPRIATION BILL (No. 2) 1975-76,bill,,,,0,0,"
 
The crisis that we face in this country today is directly referable to the performance of this Government. The reasons revolve around deceit, deception of the Parliament and deceitful operations. Government supporters can try to laugh off  Mr Khemlani  if they like, but he is just one instance of deceit and deception. These sorts of things, plus the problems of inflation and unemploymen t, plus the problems of increasing industrial unrest and the internal and external instability through which this country is becoming a piece of flotsam and jetsam, joined in some sort of poetic way to some imaginary third world- these are the circumstances that have caused a responsible Opposition to take responsible action on behalf of the Australian people. "
