,date,parliament.no,session.no,period.no,chamber,page.no,proof,day.start,name,name.id,title,type,electorate,party,role,in.gov,first.speech,para
0,1901-12-11,1,1,0,REPS,8539,0,,,,,,,,,,,HouseofRepresentatives. 
1,1901-12-11,1,1,0,REPS,8539,0,1901-12-11,,,,,,,,,,"
        "
2,1901-12-11,1,1,0,REPS,8539,0,1901-12-11,"TUDOR, Frank",KWL,TRANSFERENCE OF OFFICERS,Questions,"YARRA, VICTORIA",,,0,0,"- I desire to ask the Prime Minister, without notice, if he has considered the report prepared by "
3,1901-12-11,1,1,0,REPS,8539,0,1901-12-11,"BARTON, Edmund",009LR,TRANSFERENCE OF OFFICERS,Questions,"HUNTER, NEW SOUTH WALES",Protectionist,Minister for External Affairs,1,0,"- This is a matter which, at the present stage, belongs more particularly to the Minister for Home Affairs. The report has not yet reached me. "
4,1901-12-11,1,1,0,REPS,8539,0,1901-12-11,"MAHON, Hugh",KLB,CUSTOMS ADMINISTRATION,Questions,"COOLGARDIE, WESTERN AUSTRALIA",,,0,0,"- Does the Minister for Trade and Customs propose to give fresh consideration to the question of refunds ? The duty upon condensed milk has been reduced in Committee ofWays and Means from1½d. to1d. per lb., but an importer who has paid the larger amount upona consignment of 10,000 cases cannot allow the milk to go into consumption at a lower price than will cover that duty, unless he can get a refund of the difference between the rate collected by the Government and that fixed by the committee. "
5,1901-12-11,1,1,0,REPS,8539,0,1901-12-11,"SPEAKER, Mr",10000,CUSTOMS ADMINISTRATION,Questions,,,,0,0,- I ask the honorable member not to discuss the question. 
6,1901-12-11,1,1,0,REPS,8539,0,1901-12-11,"MAHON, Hugh",KLB,CUSTOMS ADMINISTRATION,Questions,,,,0,0,"- I shall try not to do so. I wish simply to explain the matter, so that the Minister may have no difficulty in giving me an answer. "
7,1901-12-11,1,1,0,REPS,8539,0,1901-12-11,"KINGSTON, Charles",KEW,CUSTOMS ADMINISTRATION,Questions,"SOUTH AUSTRALIA, SOUTH AUSTRALIA",Protectionist,Minister for Trade and Customs,1,0,"- The policy of the Government is, as before stated, to propose to the House provisions on the lines of those contained in the New Zealand Act. A Bill will be introduced, and it will be left entirely to honorable members to decide what course shall be taken. "
8,1901-12-11,1,1,0,REPS,8539,0,1901-12-11,"MCDONALD, Charles",KQP,SOUTH AFRICAN WAR,Questions,"KENNEDY, QUEENSLAND",,,0,0,"- Is it the intention  of the Government to send a further contingent to South Africa ? If so, will they take the House into their confidence before coming to any determination in the matter ? "
9,1901-12-11,1,1,0,REPS,8539,0,1901-12-11,"BARTON, Edmund",009LR,SOUTH AFRICAN WAR,Questions,,Protectionist,,1,0,"- No determination has yet been come to upon this matter, and the Government will immediately inform the House when they do come to a determination upon it. "
10,1901-12-11,1,1,0,REPS,8539,0,1901-12-11,"MCDONALD, Charles",KQP,SOUTH AFRICAN WAR,Questions,,,,0,0,- Before acting upon thatdetermination ? 
11,1901-12-11,1,1,0,REPS,8539,0,1901-12-11,"BARTON, Edmund",009LR,SOUTH AFRICAN WAR,Questions,,,,0,0,"- Yes. When they come to a determination they will inform the House, so that any honorable member may take such steps in regard to the matter as may seem desirable to him. "
12,1901-12-11,1,1,0,REPS,8539,0,1901-12-11,"MCMILLAN, William",L2G,CONFERENCE WITH CANADA,miscellaneous,"WENTWORTH, NEW SOUTH WALES",,,0,0,"- Will the Prime Minister give the House some information in regard to a paragraph which appears in to-day's newspaper, in regard to a proposal for a conference in London in June next, between himself and "
13,1901-12-11,1,1,0,REPS,8539,0,1901-12-11,"BARTON, Edmund",009LR,CONFERENCE WITH CANADA,miscellaneous,,Protectionist,,1,0,- I received yesterday a cablegram from 
14,1901-12-11,1,1,0,REPS,8539,0,1901-12-11,"MCMILLAN, William",L2G,CHRISTMAS ADJOURNMENT,Questions,,,,0,0,"- Has the Prime Minister reconsidered the question of the Christmas adjournment? I understand that a great many honorable members would be glad to sit every morning for the remainder of this week, and until 11.30at night, if the House is to be adjourned at one o'clock on Saturday next, so that those who have pressing business to attend to in other States may get back there forthe week before Christmas. "
15,1901-12-11,1,1,0,REPS,8540,0,1901-12-11,"BARTON, Edmund",009LR,CHRISTMAS ADJOURNMENT,Questions,,Protectionist,,1,0,"- I have had no opportunity, since the adjournment of the House last night, to consult my colleagues or the friends of the Ministry upon this matter ; but, upon a survey, of the whole position, I shall be content to move the adjournment of the House at one o'clock on Saturdaynext for the Christmas holidays if honorable members will consent to meet to-morrow morning and on Saturday at 10.30. I think honorable members will expect, in the present position of Government business, that we shall not think of adjourning at four o'clock on Friday afternoon, but shall continue our sitting until such an hour as seems a proper one in view of the work to be undertaken. With the leave of the House, I move - "
16,1901-12-11,1,1,0,REPS,8540,0,1901-12-11,"BARTON, Edmund",009LR,CHRISTMAS ADJOURNMENT,Questions,,Protectionist,,1,0,"That the House meet each day for the remainder of this week, including Saturday, at half-past . 10 a.m., and that Government business take precedence of all other notices of motion and orders of the day. "
17,1901-12-11,1,1,0,REPS,8540,0,1901-12-11,"BARTON, Edmund",009LR,CHRISTMAS ADJOURNMENT,Questions,,Protectionist,,1,0,Question resolved in the affirmative. 
18,1901-12-11,1,1,0,REPS,8540,0,1901-12-11,"BARTON, Edmund",009LR,PAPERS,papers,,Protectionist,,1,0,Ministers laid on the table the following papers :  - 
19,1901-12-11,1,1,0,REPS,8540,0,1901-12-11,"BARTON, Edmund",009LR,PAPERS,papers,,Protectionist,,1,0,"A report upon the operation of the Hare-Clark system of voting in Tasmania, promised on the l7th July. "
20,1901-12-11,1,1,0,REPS,8540,0,1901-12-11,"BARTON, Edmund",009LR,PAPERS,papers,,Protectionist,,1,0,"Copy of letter from the Premier of Queensland, dated 3rd December, in reply to a letter from the Prime Minister, dated 12th November, in reference to Pacific Island Labourers Bill. "
21,1901-12-11,1,1,0,REPS,8540,0,1901-12-11,"BARTON, Edmund",009LR,PAPERS,papers,,Protectionist,,1,0,The  Clerk  laid on the table a paper containing certain details in connexion with the Commonwealth elections in Tasmania. 
22,1901-12-11,1,1,0,REPS,8540,0,1901-12-11,"BARTON, Edmund",009LR,PACIFIC ISLAND LABOURERS BILL,bill,,Protectionist,,1,0,Bill returned from the Senate with amendments. 
23,1901-12-11,1,1,0,REPS,8540,0,1901-12-11,"BARTON, Edmund",009LR,IMMIGRATION RESTRICTION BILL,bill,,Protectionist,,1,0,Bill returned from the Senate with amendments. 
24,1901-12-11,1,1,0,REPS,8540,0,1901-12-11,"BARTON, Edmund",009LR,IMMIGRATION RESTRICTION BILL,bill,,Protectionist,,1,0,"- May I ask honorable members to familiarize themselves between now and to-morrow with the amendments which have been made in these Bills by the Senate, so that they may be in a position to assist the Government in passing them before we rise on Saturday next ? "
25,1901-12-11,1,1,0,REPS,8540,0,1901-12-11,"WATKINS, David",KX9,NEWCASTLE ARMY MEDICAL CORPS,Questions,"NEWCASTLE, NEW SOUTH WALES",ALP; FLP from 1931,,0,0,"asked the Minister for Defence,upon "
26,1901-12-11,1,1,0,REPS,8540,0,1901-12-11,"WATKINS, David",KX9,NEWCASTLE ARMY MEDICAL CORPS,Questions,"NEWCASTLE, NEW SOUTH WALES",ALP; FLP from 1931,,0,0,"Is it a fact that the uniforms for the Newcastle Army Medical Corps, promised over twelve months ago, have not yet been received ? 2. If so, what is the reason of the delay, and when will they be delivered ? "
27,1901-12-11,1,1,0,REPS,8540,0,1901-12-11,"FORREST, John",KFJ,NEWCASTLE ARMY MEDICAL CORPS,Questions,"SWAN, WESTERN AUSTRALIA",Protectionist,Minister for Defence,1,0,"- The answers to the honorable member's questions are as follow :  - 1 and 2.No. Field service uniform was promised, and that has been supplied. "
28,1901-12-11,1,1,0,REPS,8540,0,1901-12-11,"PHILLIPS, Pharez",KY8,DUTY ON COTTON GOODS,Questions,"WIMMERA, VICTORIA",,,0,0,"asked the Minister for Trade and Customs,upon "
29,1901-12-11,1,1,0,REPS,8540,0,1901-12-11,"PHILLIPS, Pharez",KY8,DUTY ON COTTON GOODS,Questions,"WIMMERA, VICTORIA",,,0,0,"If he is aware that considerable confusion exists at the Customs department in connexion with the definition of certain cotton goods as to whether they are subject to a duty of 10 per cent. or should be admitted free. If so, will he have any objection to the appointment of a board of experts, consisting of two members representing the exporters and two members representing the Chamber of Manufactures, who will confer with the officers of the Customs department and finally settle all disputed items ? "
30,1901-12-11,1,1,0,REPS,8540,0,1901-12-11,"KINGSTON, Charles",KEW,DUTY ON COTTON GOODS,Questions,,Protectionist,,1,0,- The answer to the the honorable member's question is as follows :  - 
31,1901-12-11,1,1,0,REPS,8540,0,1901-12-11,"KINGSTON, Charles",KEW,DUTY ON COTTON GOODS,Questions,,Protectionist,,1,0,"The confusion referred to has been practically remedied by the amendment relating to cottons, linens, plain, white, or unbleached, adopted by the committee last Monday, and brought into force on Tuesday morning. It is not considered necessary to appoint a board as suggested, but expert information is being collected, and will be utilized with a view to any further modification in the public interest. "
32,1901-12-11,1,1,0,REPS,8540,0,1901-12-11,"FOWLER, James",JWG,WESTERN AUSTRALIAN MOUNTED INFANTRY,Questions,"PERTH, WESTERN AUSTRALIA",,,0,0,"asked the Minister for Defence,upon "
33,1901-12-11,1,1,0,REPS,8540,0,1901-12-11,"FOWLER, James",JWG,WESTERN AUSTRALIAN MOUNTED INFANTRY,Questions,"PERTH, WESTERN AUSTRALIA",,,0,0,Whether it is correct - 
34,1901-12-11,1,1,0,REPS,8540,0,1901-12-11,"FOWLER, James",JWG,WESTERN AUSTRALIAN MOUNTED INFANTRY,Questions,"PERTH, WESTERN AUSTRALIA",,,0,0,That the officer commanding the 1st Battalion of the Western Australian Infantry is taking steps to procure uniforms for this regiment in England ? 
35,1901-12-11,1,1,0,REPS,8540,0,1901-12-11,"FOWLER, James",JWG,WESTERN AUSTRALIAN MOUNTED INFANTRY,Questions,"PERTH, WESTERN AUSTRALIA",,,0,0,That the officer commanding the Fre- mantle Mounted Infantry has had members of this force measured for uniforms intended to be made in India.? 
36,1901-12-11,1,1,0,REPS,8540,0,1901-12-11,"FOWLER, James",JWG,WESTERN AUSTRALIAN MOUNTED INFANTRY,Questions,"PERTH, WESTERN AUSTRALIA",,,0,0,"Whether, in accordance with the declared policy of the Government, the Minister will take steps to insure that, as far as practicable, the clothing of the Defence forces shall be made within the Commonwealth ? "
37,1901-12-11,1,1,0,REPS,8541,0,1901-12-11,"FORREST, John",KFJ,WESTERN AUSTRALIAN MOUNTED INFANTRY,Questions,,Protectionist,,1,0,- The answers to the honorable member's questions are as follow :  - 
38,1901-12-11,1,1,0,REPS,8541,0,1901-12-11,"FORREST, John",KFJ,WESTERN AUSTRALIAN MOUNTED INFANTRY,Questions,,Protectionist,,1,0,(a)and (b) Inquiry is being made. 
39,1901-12-11,1,1,0,REPS,8541,0,1901-12-11,"FORREST, John",KFJ,WESTERN AUSTRALIAN MOUNTED INFANTRY,Questions,,Protectionist,,1,0,Steps have been taken already to have this done. 
40,1901-12-11,1,1,0,REPS,8541,0,1901-12-11,"FORREST, John",KFJ,TARIFF,Questions,,Protectionist,,1,0,"
          "
41,1901-12-11,1,1,0,REPS,8541,0,1901-12-11,"FORREST, John",KFJ,TARIFF,Questions,,Protectionist,,1,0,"Item 74. - Manufactures of Metal, viz.: - Agricultural, horticultural, and viticultural machinery and implements, n.e.i., including mould boards, shares, and plough plates cut to shape, sheepshearing machines, horse gears ; engines, . portable, fixed on a locomotive boiler horizontally, with wheels and shafts suitable for transport, traction and oil engines, and road-making ploughs and machines, "
42,1901-12-11,1,1,0,REPS,8541,0,1901-12-11,"FORREST, John",KFJ,TARIFF,Questions,,Protectionist,,1,0,Upon which 
